CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Satisfaction Score,Card Type,Point Earned
605.0,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,3,DIAMOND,509
479.0,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,3,DIAMOND,328
685.0,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,4,SILVER,347
538.0,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,5,SILVER,534
562.0,France,Male,42,2,100238.4,1,0,0,86797.41,0,5,PLATINUM,709
675.0,Spain,Male,36,9,106190.6,1,0,1,22994.32,0,4,SILVER,749
721.0,Germany,Male,28,9,154475.5,2,0,1,101300.9,1,5,PLATINUM,541
628.0,Germany,Female,30,9,132351.3,2,1,1,74169.13,0,2,GOLD,736
668.0,Germany,Female,37,6,167864.4,1,1,0,115638.3,0,4,SILVER,529
506.0,France,Female,41,1,0.0,2,1,0,31766.3,0,4,GOLD,594
524.0,Germany,Female,31,8,107818.6,1,1,0,199725.4,1,1,SILVER,462
699.0,Germany,Male,34,4,185173.8,2,1,0,120834.5,0,3,PLATINUM,429
828.0,France,Male,34,8,129433.3,2,0,0,38131.77,0,4,SILVER,370
674.0,Spain,Male,39,6,120193.4,1,0,0,100131.0,0,1,PLATINUM,510
656.0,France,Female,39,6,0.0,2,1,0,141069.9,0,4,DIAMOND,638
684.0,Germany,Female,48,10,126384.4,1,1,1,198129.4,0,1,GOLD,462
625.0,France,Female,28,3,0.0,1,0,0,183646.4,0,4,GOLD,718
432.0,France,Male,42,9,152603.5,1,1,0,110265.2,1,3,DIAMOND,437
549.0,France,Female,52,1,0.0,1,0,1,8636.05,1,4,DIAMOND,485
625.0,Germany,Male,56,0,148507.2,1,1,0,46824.08,1,3,PLATINUM,410
828.0,France,Female,41,7,0.0,2,1,0,171378.8,0,2,PLATINUM,666
770.0,France,Male,24,9,101827.1,1,1,0,167256.4,0,4,GOLD,730
758.0,France,Female,34,3,0.0,2,1,1,124226.2,0,2,PLATINUM,375
795.0,Germany,Female,33,9,130862.4,1,1,1,114935.2,0,5,GOLD,411
687.0,France,Male,38,9,122570.9,1,1,1,35608.88,0,4,DIAMOND,595
686.0,France,Male,25,1,0.0,2,0,1,16459.37,0,1,DIAMOND,578
789.0,Germany,Male,39,7,124828.5,2,1,1,124411.1,0,2,PLATINUM,377
589.0,Germany,Female,50,5,144895.1,2,1,1,34941.23,0,2,GOLD,831
461.0,Germany,Female,34,5,63663.93,1,0,1,167784.3,0,1,SILVER,497
637.0,France,Male,40,2,133463.1,1,0,1,93165.34,0,1,PLATINUM,374
584.0,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,4,DIAMOND,814
579.0,Spain,Female,35,1,129490.4,2,0,1,8590.83,1,4,GOLD,247
756.0,Germany,Male,44,10,137452.1,1,1,0,189543.9,0,5,PLATINUM,965
663.0,France,Male,34,7,0.0,2,1,1,180427.2,0,3,SILVER,912
682.0,France,Female,43,5,125851.9,1,1,1,193318.3,0,4,GOLD,462
793.0,Spain,Male,52,2,0.0,1,1,0,159123.8,1,5,GOLD,883
691.0,France,Female,31,5,40915.55,1,1,0,126213.8,1,2,SILVER,402
485.0,Spain,Female,21,5,113157.2,1,1,1,54141.5,0,4,GOLD,764
635.0,Spain,Female,29,8,138296.9,2,1,0,141075.5,0,1,PLATINUM,608
650.0,France,Male,37,5,106967.2,1,0,0,24495.03,0,5,PLATINUM,652
735.0,France,Male,44,9,120681.6,1,1,0,74836.34,0,2,SILVER,520
416.0,France,Male,32,0,0.0,2,0,1,878.87,0,5,GOLD,884
754.0,Spain,Female,32,7,0.0,2,1,0,89520.75,0,1,SILVER,800
535.0,France,Female,48,9,0.0,1,1,0,149892.8,1,4,GOLD,697
716.0,Spain,Male,42,8,0.0,2,1,0,180800.4,0,2,SILVER,427
539.0,France,Male,37,2,127609.6,1,1,0,98646.22,0,1,DIAMOND,620
614.0,France,Female,43,6,0.0,2,1,1,109041.5,0,1,PLATINUM,318
706.0,Spain,Male,57,7,0.0,1,1,0,17941.16,1,1,GOLD,701
758.0,France,Female,33,7,0.0,2,0,0,82996.47,0,4,PLATINUM,953
586.0,Spain,Female,28,2,0.0,2,1,1,92067.35,0,5,PLATINUM,635
631.0,Germany,Female,33,4,123246.7,1,0,0,112687.6,0,3,SILVER,662
717.0,Spain,Female,22,6,101060.3,1,0,1,84699.56,0,2,GOLD,666
684.0,France,Male,30,2,0.0,2,1,0,83473.82,0,4,DIAMOND,699
800.0,France,Female,49,7,108007.4,1,0,0,47125.11,0,3,PLATINUM,855
721.0,Spain,Female,36,2,0.0,2,1,1,106977.8,0,5,SILVER,534
683.0,Spain,Male,29,0,133702.9,1,1,0,55582.54,1,1,PLATINUM,388
660.0,Germany,Male,31,9,125189.8,2,1,1,139874.4,0,5,GOLD,612
704.0,Germany,Female,24,7,113034.2,1,1,0,162503.5,1,2,PLATINUM,801
615.0,Spain,Female,41,9,109013.2,1,1,0,196500.0,0,1,PLATINUM,561
667.0,Spain,Female,39,2,0.0,2,1,0,40721.24,1,5,PLATINUM,308
682.0,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,5,SILVER,643
484.0,France,Female,29,4,130114.4,1,1,0,164017.9,0,1,GOLD,249
628.0,Germany,Male,27,5,95826.49,2,1,0,155997.0,0,2,SILVER,818
480.0,Germany,Male,44,10,129608.6,1,1,0,5472.7,1,1,GOLD,775
578.0,France,Male,30,4,169462.1,1,1,0,112187.1,0,5,DIAMOND,872
512.0,France,Male,40,5,0.0,2,1,1,146457.8,0,3,DIAMOND,435
484.0,Spain,Female,35,7,133868.2,1,1,1,27286.1,0,2,SILVER,415
510.0,France,Female,30,0,0.0,2,1,1,130553.5,0,2,DIAMOND,430
606.0,Germany,Male,36,5,190479.5,2,0,0,179351.9,0,5,PLATINUM,929
597.0,Spain,Female,40,8,101993.1,1,0,1,94774.12,0,5,SILVER,681
754.0,Germany,Female,55,3,161608.8,1,1,0,8080.85,1,4,GOLD,810
850.0,Spain,Female,45,2,122311.2,1,1,1,19482.5,0,5,GOLD,739
778.0,Germany,Female,45,1,162150.4,2,1,0,174531.3,0,2,DIAMOND,250
636.0,France,Male,42,2,0.0,2,1,1,55470.78,0,4,PLATINUM,991
804.0,France,Female,50,4,0.0,1,1,1,8546.87,1,2,GOLD,482
514.0,France,Male,32,8,0.0,2,1,0,95857.18,0,4,PLATINUM,423
730.0,France,Female,39,1,99010.67,1,1,0,194945.8,0,5,GOLD,260
525.0,Spain,Female,37,0,0.0,1,0,1,131521.7,0,5,SILVER,642
616.0,Spain,Male,30,5,0.0,2,0,1,196108.5,0,4,PLATINUM,701
687.0,Germany,Female,34,7,111388.2,2,1,0,148564.8,0,4,GOLD,570
715.0,France,Female,41,8,56214.85,2,0,0,92982.61,1,4,GOLD,790
512.0,France,Female,36,3,84327.77,2,1,0,17675.36,0,5,PLATINUM,727
479.0,France,Male,40,1,0.0,2,0,0,114996.4,0,3,SILVER,909
601.0,France,Male,32,8,93012.89,1,1,0,86957.42,0,2,GOLD,799
580.0,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,1,DIAMOND,520
807.0,France,Male,35,3,174790.2,1,1,1,600.36,0,3,SILVER,861
616.0,Spain,Female,32,6,0.0,2,1,1,43001.46,0,5,GOLD,512
721.0,Germany,Male,37,3,107720.6,1,1,1,158591.1,0,1,PLATINUM,478
501.0,France,Male,57,10,0.0,2,1,1,47847.19,0,5,PLATINUM,374
521.0,France,Male,35,6,96423.84,1,1,0,10488.44,0,4,PLATINUM,280
850.0,Spain,Male,30,2,141040.0,1,1,1,5978.2,0,2,DIAMOND,615
759.0,France,Male,42,4,105420.2,1,0,1,121409.1,0,3,GOLD,435
516.0,Spain,Male,50,5,0.0,1,0,1,146145.9,1,5,GOLD,509
711.0,France,Female,38,2,129022.1,2,1,1,14374.86,1,4,DIAMOND,321
512.0,Spain,Male,33,3,176666.6,1,1,0,94670.77,0,1,PLATINUM,726
550.0,France,Male,37,3,0.0,1,1,1,179670.3,0,3,GOLD,516
608.0,Spain,Female,41,3,89763.84,1,0,0,199304.7,1,3,PLATINUM,639
618.0,France,Male,34,5,134954.5,1,1,1,151954.4,0,2,SILVER,512
643.0,France,Male,45,5,0.0,1,1,0,142513.5,1,3,GOLD,730
671.0,France,Male,45,2,106376.9,1,0,1,158264.6,0,3,DIAMOND,244
689.0,Germany,Male,33,2,161814.6,2,1,0,169381.9,0,3,PLATINUM,292
603.0,France,Male,31,8,0.0,2,1,1,169915.0,0,3,GOLD,245
620.0,France,Female,41,9,0.0,2,0,0,88852.47,0,3,DIAMOND,848
676.0,France,Female,34,1,63095.01,1,1,1,40645.81,0,3,SILVER,974
572.0,Germany,Male,26,4,118287.0,2,0,0,60427.3,0,4,DIAMOND,958
668.0,Germany,Male,47,7,106854.2,1,0,1,157959.0,1,3,GOLD,629
695.0,France,Male,46,7,49512.55,1,1,0,133007.3,0,3,DIAMOND,310
730.0,Spain,Female,33,9,0.0,2,0,0,176576.6,0,1,SILVER,621
807.0,France,Male,43,1,105799.3,2,1,0,34888.04,1,4,DIAMOND,924
592.0,France,Male,54,8,0.0,1,1,1,28737.71,1,2,PLATINUM,359
726.0,France,Female,31,9,114722.1,2,1,1,98178.57,0,5,SILVER,811
514.0,Spain,Male,30,7,0.0,1,0,1,125010.2,0,4,DIAMOND,583
567.0,France,Male,42,2,0.0,2,1,1,167984.6,0,5,SILVER,959
850.0,France,Male,33,10,0.0,1,1,0,4861.72,1,1,SILVER,359
671.0,Germany,Male,45,6,99564.22,1,1,1,108872.5,1,3,PLATINUM,901
670.0,France,Male,37,4,170557.9,2,1,0,198252.9,0,5,GOLD,729
694.0,France,Female,30,9,0.0,2,1,1,26960.31,0,5,DIAMOND,829
547.0,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,4,SILVER,790
751.0,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,2,DIAMOND,756
594.0,Germany,Female,29,3,130830.2,1,1,0,61048.53,0,4,GOLD,873
610.0,France,Male,40,0,0.0,2,1,0,62232.6,0,5,GOLD,690
512.0,France,Female,37,1,0.0,2,0,1,156105.0,0,4,PLATINUM,722
767.0,Germany,Male,20,3,119714.3,2,0,1,150135.4,0,4,DIAMOND,535
763.0,Germany,Male,42,6,100160.8,1,1,0,33462.94,1,3,GOLD,709
712.0,France,Female,29,2,0.0,1,1,1,144375.0,0,4,GOLD,930
539.0,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,4,DIAMOND,264
668.0,France,Female,46,2,0.0,3,1,0,89048.46,1,1,DIAMOND,943
703.0,France,Male,28,2,81173.83,2,0,1,162812.2,0,2,PLATINUM,388
662.0,Spain,Male,38,4,0.0,2,1,0,136259.7,0,5,GOLD,248
725.0,Germany,Female,39,5,116803.8,1,1,0,124053.0,0,2,GOLD,763
703.0,France,Male,37,8,105961.7,2,0,1,74158.8,0,1,DIAMOND,619
523.0,Spain,Male,34,7,0.0,2,1,0,62030.06,0,4,DIAMOND,566
635.0,France,Female,40,10,123497.6,1,1,0,131953.2,1,5,GOLD,774
772.0,Germany,Male,26,7,152400.5,2,1,0,79414.0,0,1,PLATINUM,695
545.0,France,Female,26,1,0.0,2,1,1,199638.6,0,5,PLATINUM,902
634.0,Germany,Male,24,8,103097.9,1,1,1,157577.3,0,2,GOLD,532
739.0,Germany,Male,54,8,126418.1,1,1,0,134420.8,1,2,DIAMOND,718
771.0,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,5,PLATINUM,895
587.0,Spain,Female,34,1,0.0,2,1,1,97932.68,0,4,DIAMOND,749
544.0,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,4,DIAMOND,866
696.0,Spain,Male,28,8,0.0,1,0,0,176713.5,0,3,SILVER,671
766.0,Spain,Male,41,0,0.0,2,0,1,34283.23,0,4,GOLD,670
727.0,France,Male,34,10,0.0,2,1,1,198637.3,0,4,GOLD,768
671.0,Germany,Female,34,6,37266.67,2,0,0,156917.1,0,3,SILVER,565
693.0,France,Female,30,6,127992.3,1,1,1,50457.2,0,1,SILVER,483
850.0,Germany,Male,38,3,54901.01,1,1,1,140075.6,0,2,GOLD,926
732.0,Germany,Male,42,9,108748.1,2,1,1,65323.11,0,1,DIAMOND,932
726.0,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,4,DIAMOND,901
557.0,France,Female,32,6,184686.4,2,1,0,14956.44,0,3,GOLD,299
682.0,France,Female,26,0,110654.0,1,0,1,111879.2,0,2,PLATINUM,899
738.0,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,4,PLATINUM,467
531.0,Spain,Female,36,9,99240.51,1,1,0,123137.0,0,1,PLATINUM,717
498.0,France,Male,34,2,0.0,2,1,1,148528.2,0,1,DIAMOND,549
651.0,France,Male,36,7,0.0,2,1,0,13898.31,0,1,GOLD,545
549.0,Spain,Female,39,7,0.0,1,0,0,81259.25,1,2,GOLD,716
791.0,Germany,Female,35,7,52436.2,1,1,0,161051.8,0,2,SILVER,650
650.0,Spain,Male,41,9,0.0,2,0,1,191599.7,0,4,PLATINUM,693
733.0,Germany,Male,34,3,100338.0,3,1,0,48559.19,1,4,PLATINUM,759
811.0,Germany,Female,34,1,149297.2,2,1,1,186339.7,0,2,GOLD,946
707.0,France,Male,30,8,0.0,2,1,0,33159.37,0,5,GOLD,402
712.0,Germany,Male,28,4,145605.4,1,0,1,93883.53,0,3,PLATINUM,465
706.0,Spain,Female,37,7,0.0,2,1,1,110899.3,0,1,GOLD,799
756.0,France,Male,62,3,0.0,1,1,1,11199.04,1,3,SILVER,600
777.0,France,Female,53,10,0.0,2,1,0,189993.0,0,2,PLATINUM,306
646.0,France,Male,35,6,84026.86,1,0,1,164255.7,0,3,SILVER,635
714.0,France,Male,46,1,0.0,1,1,0,152167.8,1,2,PLATINUM,747
782.0,France,Male,39,8,0.0,2,1,1,33949.67,0,3,PLATINUM,424
775.0,Spain,Male,29,10,0.0,2,1,1,68143.93,0,2,DIAMOND,913
479.0,Germany,Male,35,4,138718.9,1,1,1,47251.79,1,1,GOLD,751
807.0,France,Male,42,7,118274.7,1,1,1,25885.72,0,3,DIAMOND,899
799.0,France,Female,22,8,174186.0,2,0,1,192633.9,0,3,PLATINUM,219
675.0,France,Male,40,7,113208.9,2,1,0,34577.36,0,3,SILVER,587
602.0,Spain,Male,29,5,103907.3,1,1,0,161229.8,0,2,SILVER,861
475.0,France,Female,32,8,119023.3,1,1,0,100816.3,0,1,PLATINUM,278
744.0,Spain,Female,26,5,166297.9,1,1,1,181694.4,0,1,PLATINUM,526
588.0,Spain,Male,34,10,0.0,2,1,0,79078.91,0,2,PLATINUM,632
703.0,Germany,Male,42,9,63227.0,1,0,1,137316.3,0,3,SILVER,301
747.0,Spain,Female,41,5,94521.17,2,1,0,194926.9,0,1,DIAMOND,806
583.0,France,Male,27,7,0.0,2,1,0,51285.49,0,1,PLATINUM,250
750.0,Spain,Female,34,9,112822.3,1,0,0,150401.5,1,2,PLATINUM,563
681.0,France,Male,38,3,0.0,2,1,1,112492.0,0,1,DIAMOND,861
773.0,France,Male,25,2,135903.3,1,1,0,73656.38,0,4,PLATINUM,790
714.0,France,Female,31,4,125169.3,1,1,1,106636.9,0,3,PLATINUM,669
687.0,Spain,Female,44,7,0.0,3,1,0,155853.5,1,2,SILVER,336
511.0,France,Male,58,0,149117.3,1,1,1,162599.5,0,1,GOLD,517
627.0,France,Male,33,5,0.0,2,1,1,103737.8,0,4,PLATINUM,499
694.0,France,Female,31,10,0.0,2,1,0,160990.3,0,3,SILVER,673
616.0,Spain,Female,36,6,132311.7,1,0,0,15462.84,0,2,SILVER,268
687.0,France,Male,35,8,0.0,2,1,0,10334.05,0,5,PLATINUM,809
712.0,France,Female,33,6,0.0,2,1,1,190686.2,0,5,GOLD,460
553.0,France,Male,33,4,118082.9,1,0,0,94440.45,0,4,SILVER,221
667.0,France,Male,31,1,119266.7,1,1,1,28257.63,0,2,SILVER,730
731.0,France,Male,43,2,0.0,1,1,1,170035.0,1,2,DIAMOND,777
629.0,Germany,Male,35,7,156847.3,2,1,0,31824.29,0,4,SILVER,837
614.0,France,Male,50,4,137104.5,1,1,0,127166.5,1,1,DIAMOND,958
438.0,Germany,Male,31,8,78398.69,1,1,0,44937.01,0,4,PLATINUM,809
729.0,Germany,Male,30,6,63669.42,1,1,0,145111.4,0,2,GOLD,484
642.0,France,Male,38,3,0.0,2,0,0,171463.8,0,2,GOLD,737
806.0,Germany,Female,59,0,135296.3,1,1,0,182822.5,0,1,SILVER,486
744.0,Spain,Male,36,2,153804.4,1,1,1,87213.33,0,3,SILVER,252
474.0,Spain,Male,37,3,0.0,2,0,0,57175.32,0,4,SILVER,275
559.0,France,Male,49,2,147069.8,1,1,0,120540.8,1,1,DIAMOND,245
706.0,Spain,Male,42,9,0.0,2,1,1,28714.34,0,4,PLATINUM,361
628.0,Spain,Female,22,3,0.0,1,1,0,85426.28,0,4,DIAMOND,483
429.0,France,Male,24,4,95741.75,1,1,0,46170.75,0,2,GOLD,352
525.0,Spain,Female,57,2,145965.3,1,1,1,64448.36,0,5,PLATINUM,337
680.0,France,Female,30,8,141441.8,1,1,1,16278.97,0,1,SILVER,597
749.0,France,Male,40,1,139290.4,1,1,0,182855.4,1,1,SILVER,381
763.0,France,Female,31,4,0.0,2,0,0,50404.72,0,3,PLATINUM,668
734.0,France,Male,30,3,0.0,2,1,0,107640.3,0,4,DIAMOND,245
716.0,France,Male,35,4,144428.9,1,1,0,134132.7,0,2,PLATINUM,495
594.0,France,Male,35,2,0.0,2,1,0,103480.7,0,4,DIAMOND,378
644.0,France,Female,46,9,95441.27,1,1,0,108761.1,1,1,SILVER,568
671.0,Germany,Male,35,1,144848.7,1,1,1,179012.3,0,5,PLATINUM,731
664.0,Germany,Male,26,7,116244.1,2,1,1,95145.14,0,2,GOLD,837
656.0,France,Male,50,7,0.0,2,0,1,72143.44,0,1,GOLD,829
667.0,Spain,Female,40,1,146502.1,1,1,0,19162.89,0,3,DIAMOND,230
663.0,Germany,Male,44,2,117028.6,2,0,1,144680.2,0,4,DIAMOND,919
584.0,Germany,Female,30,8,112013.8,1,1,0,177772.0,1,4,PLATINUM,641
626.0,Spain,Female,37,6,108269.4,1,1,0,5597.94,0,2,DIAMOND,457
485.0,France,Male,29,7,182123.8,1,1,0,116828.5,1,4,GOLD,583
659.0,Germany,Female,32,3,150923.7,2,0,1,174652.5,0,2,PLATINUM,849
649.0,France,Male,33,2,0.0,2,1,0,2010.98,0,3,DIAMOND,720
805.0,Spain,Female,39,5,165272.1,1,1,0,14109.85,1,3,SILVER,317
716.0,Germany,Female,39,10,115301.3,1,1,0,43527.4,1,5,DIAMOND,465
642.0,Germany,Female,40,6,129502.5,2,0,1,86099.23,1,4,GOLD,269
659.0,France,Male,31,4,118342.3,1,0,0,161574.2,0,3,SILVER,391
545.0,Spain,Female,47,5,0.0,2,1,1,38970.14,0,4,PLATINUM,373
543.0,France,Male,22,8,0.0,2,0,0,127587.2,0,3,PLATINUM,251
